m,n,time to complete ms
6,6,11017.9938
6,6,4022.8637000000003
6,6,2257.6486
6,6,2987.7454
6,6,4788.0512
6,6,6625.0852
6,6,2431.3478
6,6,5052.9091
6,6,8416.61
6,6,3941.7699
6,6,4855.0577
6,6,12609.3285
6,6,8212.3599
6,6,3005.6291
6,6,1412.5261
6,6,852.272
6,6,9.3876
6,6,3021.002
6,6,1571.7398
6,6,1905.0678
6,6,2337.1222000000002
6,6,2099.3702000000003
6,6,3943.4901
6,6,3138.0555
6,6,2700.3272
6,6,1266701.6159
6,6,1007435.6856
6,6,12922.0886
6,6,6474.187900000001
6,6,7518.2787
6,6,14994.448199999999
6,6,2537.9952000000003
6,6,7543.459400000001
6,6,8077.5105
6,6,8751.1114
6,6,12114.2155
6,6,9371.196699999999
6,6,7235.4186
6,6,4774.1411
6,6,6179.714599999999
6,6,471.7982
6,6,1056.9588
6,6,28057.9866
6,6,2250.3613
6,6,78896.2722
6,6,70035.9461
6,6,4897.5069
6,6,5538.5841
6,6,25197.2469
6,6,1827.3241
6,6,8238.8138
6,6,38841.1829
6,6,8610.1731
6,6,12560.608699999999
6,6,24590.5331
6,6,33511.0556
6,6,55125.3309
6,6,7608.5622
6,6,23766.4805
6,6,8825.4831
6,6,12336.0779
6,6,5345.8655
6,6,7090.9052
6,6,8296.0078
6,6,318410.8024
6,6,93355.05140000001
6,6,105396.52290000001
6,6,249630.38880000002
6,6,558735.7466000001
6,6,1396005.1201
6,6,342594.5855
6,6,19694.1247
6,6,49217.167799999996
6,6,83108.76120000001
6,6,6965.1357
6,6,71817.7195
6,6,38580.901
6,6,3115020.0111
6,6,1462.1683
6,6,4.4632
6,6,1014.3842
6,6,959.6865
6,6,976.3163000000001
6,6,2102.0759
6,6,545.4039
6,6,1471.3977
6,6,2948.5317
6,6,86.0252
6,6,1618.7941
6,6,2244.6729
6,6,3722.3527999999997
6,6,986.6795999999999
6,6,102.33439999999999
6,6,12.4409
6,6,46.7164
6,6,1994.4968999999999
6,6,2333.2037
6,6,2892.7358
6,6,88225.3308
6,6,212.2239
6,6,1800.6056
6,6,12.0428
6,6,247.62320000000003
6,6,633.8178
6,6,2592.1357000000003
6,6,2571.9017000000003
6,6,125.5654
6,6,937.3226
6,6,568.7528000000001
6,6,1982.4365
6,6,1525.1007
6,6,5730.0145
6,6,291.9379
6,6,982.9852
6,6,6265.17
6,6,805.9331
6,6,400.4354
6,6,576.5908000000001
6,6,3486.181
6,6,6354.9492
6,6,997.595
6,6,1648.6901
6,6,1377.7372
6,6,346.9806
6,6,348.00359999999995
6,6,1415.5883000000001
6,6,26.484
6,6,603.9266
6,6,1594.3607
6,6,1813.2943
6,6,1252.0221999999999
6,6,150.0468
